url	crop_label	content_class	cluster_id	cluster_size
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1024_general_outdoor-dining-table_azulik-city-arts-francisco-uh-may_s23u_iso100-f2p2_20230917-152718_3000x4000.sdr.png	c25_tl	1000-lilith-photos-general	0	42
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/real-charts/7116_plots_chart-pie-02-slate_1024x1024.sdr.png	c50_bl	7000-lilith-plots	1	17
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1440x900/8138_web-screenshots_nps-yellowstone_dpr1_page1_1440x900.sdr.png	c50_center	8100-lilith-web-screenshots	2	61
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9108_gen_illustrations_citrus-harvest-table_1024x1536.sdr.png	full	9094-lilith-ai-illustrations	3	16
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/toys/9882_gen_products-toys_baby-wooden-rattle_p0643_1024x1024.sdr.png	c25_tr	9226-lilith-ai-products	4	9
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/home/furniture/9786_gen_products-home-furniture_rectangular-dining-table_p0547_1536x1024.sdr.png	full	9226-lilith-ai-products	5	78
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1440x900/8134_web-screenshots_nps-grand-canyon_dpr1_page1_1440x900.sdr.png	c25_br	8100-lilith-web-screenshots	6	19
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9106_gen_illustrations_child-fox-snowy-forest_1024x1536.sdr.png	full	9094-lilith-ai-illustrations	7	22
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/grids/7052_plots_line-00222-s2f495179_1024x1024.sdr.png	c50_br	7000-lilith-plots	8	11
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/line-patterns/7054_plots_line-tiling-00056-s6bcec02a_1024x1024.sdr.png	c50_tl	7000-lilith-plots	9	10
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/home/kitchen/9802_gen_products-home-kitchen_ashridge-espresso-cups_p0563_1536x1024.sdr.png	full	9226-lilith-ai-products	10	114
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1600-lilith-food/1606_food_fried-calamari-salad_hanalei-hawaii_s21u_iso32-f1p8_20221001-155420_3462x2150.sdr.png	c50_br	1600-lilith-food	11	48
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/whitelabeled-beauty/9938_gen_products-whitelabeled-beauty_vitamin-c-serum-bottle_p0696_1024x1536.sdr.png	c25_br	9226-lilith-ai-products	12	58
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/grids/7050_plots_line-00166-s010fb6d2_1024x1024.sdr.png	c25_br	7000-lilith-plots	13	9
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/other/8434_web-screenshots_nih-home_dpr1_page1_414x896.sdr.png	c25_br	8100-lilith-web-screenshots	14	38
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/375x667/8282_web-screenshots_lkml-lists-index_dpr1_page1_375x667.sdr.png	c25_bl	8100-lilith-web-screenshots	15	3
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9160_gen_illustrations_window-watching-cat_1024x1536.sdr.png	c25_center	9094-lilith-ai-illustrations	16	19
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1920x1080/8194_web-screenshots_noaa-ocean_dpr1_page1_1920x1080.sdr.png	c25_bl	8100-lilith-web-screenshots	17	50
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9140_gen_illustrations_reading-nook-hot-chocolate_1024x1536.sdr.png	c25_br	9094-lilith-ai-illustrations	18	3
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.sdr.png	c25_center	1000-lilith-photos-general	19	30
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/768x1024/8388_web-screenshots_weatherportal-home_dpr1_page1_768x1024.sdr.png	c25_br	8100-lilith-web-screenshots	20	2
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/5000-national-park-service-brochures/grayscale/5044_nps_mora-ohanapecosh7-2019_gray_p01_2550x3300.sdr.png	c25_tr	5000-national-park-service-brochures	21	387
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1600-lilith-food/1634_food_breakfast-table-setting_uchiura-shigedera-numazu-japan_s23u_iso16-f1p7_20250308-091451_3000x4000.sdr.png	c25_center	1600-lilith-food	22	56
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1440x900/8108_web-screenshots_datagov-catalog_dpr1_page1_1440x900.sdr.png	c25_center	8100-lilith-web-screenshots	23	32
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_1bitoriginal/6016_scans-patents_lynn-conway-us5046022-1bit_p017_2320x3408.sdr.png	full	6000-lilith-scans-public-patents	24	10
